video_id,transcript
7430970798661422382,"You voted for a candidate endorsed by the KKK. For the rest of your life, you have to know that you voted the same way as the KKK. No ifs, ands or buts. No doubt about it. Which I told him she was chiming in and agreeing because there's no way around it. You voted for hatred. You voted against women, against the gay community, against Mexicans, against blacks. Yeah, and you gonna call yourself a Christian? I don't give a fuck if you go to church 23 out of 24 hours. You're a mean motherfucker."
7463275191054011671,the left-wing media they do not know right you are extreme right or stupid right and I find both offensive ok what are you right no civilized right oh civilized right oh
7377514923464674590,"If you had to pick a Democrat or Republican, a Joe Biden or Donald Trump, gun to your head, who would you vote for? The gun would go off."
7405762942039379246,"By the way, I got a message for the Republicans and the justices of the United States Supreme Court. You can pry this wedding band from my cold, dead, gay hand."
7441013971865455890,"You're Maori. I'm not Maori. Do you have more rights than me in New Zealand? I have more obligations. And I think. Do you have more rights? Do you have more rights? I also have more rights with those obligations. So you do have, you do have more rights. We have different expectations and different rights. Absolutely."
7389962032004549920,green left which actually says that this flag is green left 1 traitor party well well sir that's green decay everything that is not Dutch is what they are for so I mean green left there are only madmen Labillen fools
7435743917661801758,"This is why Democrats lose, um, because the American voting public are some of the dumbest, most uneducated, most ignorant people on the planet. We're all sitting around this week trying to do post mortem of the selection. Like, Joe Biden dropped out two weeks late, or she didn't spend enough time in Pennsylvania, or her ad buys were too expensive, or her field program didn't work very well. Democrats lose because people are stupid and they buy bumper sticker bullshit slogans. These people really fucking believe that Donald Trump as president is going to just give them more money. They're just gonna have more money magically. He's not even the fucking president yet and they're saying this. Democrats always have to be like, we have a 12 point economic stimulus plan that involves, you know, pumping money into this subsidy and that subsidy, and eventually in five years, you're gonna see, you know, a boom on the economy and everybody's gonna be rich. Trump goes, vote for me and you'll have more money in your savings account. And people buy it. People buy it. Even though cobbles policies literally were to give people money. First time home buyer credits. Cash in people's hands to buy houses for first time home buyers. Small business tax credits. Start up a business, we're gonna give you cash child tax credits, extra money just for having kids. Those were communist policies. Joe Biden's administration cut child poverty in the United States in half by The way all the leftists who think that Joe Biden was some sort of right wing maniac. Did you know that Joe Biden cut child poverty in half? Trump comes in and goes, prices are too high. Here's my proposal. Universal tariffs. We're gonna slap tariffs on everything, uh, and that's somehow gonna stimulate the economy and you're gonna have more money in your wallet. Donald Trump's plan is literally to increase prices. To increase prices. That's what Donald Trump is promising. And these grown ass adults who vote don't know what a fucking tariff is. So like, I don't. There's no point, there's no point in arguing this state or that state or this strategy or that strategy or who's gonna. Who has the better message or who's the candidate. Voters are fucking stupid. And even now somebody's gonna come in my comments and be like, this is not helpful. This is why Democrats lose, cause you insult the electorate. I don't give a fuck. We talk to people like they're smart and they're not fucking smart. I don't care if we have to just. If it just becomes middle school, you know, student body president elections, vote for us to get a portion of pizza party, I. Until education in the United States improves and people could actually think critically about what they're voting for and who they're voting for, the party that talks to them like they're educated adults is gonna lose. And the party that panders to Them like ignorant children is gonna win"
7332176259201371434,"If they had said nothing at all about Kate, no one would have wondered where she was, as it's not unusual for her and William to be publicly absent for three to four months. That they felt compelled to is telling. It likely means someone outside the firm Learned about her situation. She wanted this life, right? She chased William for 10 years before he gave in, right? She clearly didn't study Charles and Diana's marriage to know what she was in for. Hashtag batfamily I don't know what has happened to her, but this was always going to end in scan. She's been unhappy for a while. What Kate and will did to Megan and Harry as we were young. But unlike dubbed and uninitiated to the dealings of the fun wish mental is understandable. Willie's ego seemed so massive. I can't imagine how anyone someone stand being with a red flag with him. The mama would say she made her bed. Hashtag that family has not only I hate her badly and prematurely, they made her terribly unhappy. The hopeless look in her eyes. She should cut her losses and run. She is still the mother of the future. Future s so all is not lost. She has some leverage."
7309790544094301472,"Their election program says, you have to do 60 compulsory hours, then you have a naturalization test. At the end you have to play the 3rd verse from a song I do not even know anymore how the title was 1 piece into the national anthem."
7550942127048396046,"We're about to find out if Erica Kirk is a honeypot or the Christian conservative wife that we have seen her being all these years. People have been claiming she may be a honeypot since they started dating. And if you don't know what a honeypot is, it's beautiful. Usually very intelligent women who are intentionally put next to a man in rising power or his already in a place of power as a way to control them, motivate them, keep them on the course. Basically, people who put these two people together want her to keep him going on that track. The more you find out about Erica Kirk, um, it's interesting to see the honeypot theory. Five years older than him, she was a double major, had a doctorate law degree. Whenever she met him, she already had very successful careers. She was a beauty pageant queen. People know this. She's Miss Arizona. She ran for Miss USA. But she was also an athlete and had a very successful basketball career and was a member of the NCAA. She also started clothing line. The list just keeps going. She's also modeled, acted, the casting director. Erica herself has even founded non profit organizations. I think that's why a lot of people who know all this about her are comparing her to Serena Joy. But people who don't know this about her are comparing her to that. That crazy conservative Christian from True Blood. And I feel like the More you know about Erica. It's going to be interesting to see what Erica Kirk achieves in the next months years. How Charlie was so much more successful once he aligned himself with her. Whether she was a honeypot or not."
